code,Location,Employer,Non-Group,Medicaid,Medicare,Other Public,Uninsured,Total,Insured
ND,North Dakota,0.59,0.08,0.09,0.13,0.02,0.09,1,91
OH,Ohio,0.5,0.04,0.21,0.16,0.01,0.07,1,93
OK,Oklahoma,0.45,0.05,0.17,0.14,0.02,0.16,1,84
OR,Oregon,0.46,0.07,0.21,0.16,0.02,0.08,1,92
PA,Pennsylvania,0.53,0.06,0.17,0.15,0.01,0.08,1,92
RI,Rhode Island,0.54,0.09,0.18,0.13,N/A,0.05,1,95
SC,South Carolina,0.46,0.04,0.2,0.15,0.02,0.13,1,87
SD,South Dakota,0.55,0.07,0.12,0.15,0.02,0.09,1,91
TN,Tennessee,0.5,0.06,0.16,0.15,N/A,0.1,1,90
TX,Texas,0.47,0.06,0.18,0.1,0.02,0.17,1,83
UT,Utah,0.59,0.08,0.1,0.1,0.01,0.12,1,88
VT,Vermont,0.52,0.07,0.21,0.13,0.02,0.06,1,94
VA,Virginia,0.55,0.07,0.09,0.13,0.06,0.1,1,90
WA,Washington,0.48,0.07,0.22,0.12,0.02,0.09,1,91
WV,West Virginia,0.43,0.04,0.29,0.17,0.01,0.06,1,94
WI,Wisconsin,0.55,0.06,0.17,0.14,N/A,0.07,1,93
WY,Wyoming,0.61,0.06,0.1,0.11,0.02,0.1,1,90
,,,,,,,,,
,Notes,,,,,,,,
,The majority of our health coverage topics are based on analysis of the Census Bureau’s March Supplement to the Current Population Survey (the CPS Annual Social and Economic Supplement or ASEC) by the Kaiser Commission on Medicaid and the Uninsured. The CPS supplement is the primary source of annual health insurance coverage information in the United States.,,,,,,,,
,,,,,,,,,
,"In this analysis, income (mostly categorized as a percent of the federal poverty level) is aggregated by Census-defined family units. Analyzing income by family unit captures income available to a group of people who are likely sharing resources. However, family units may not be the appropriate measure for capturing eligibility for health insurance.  Eligibility for health insurance is more accurately estimated using "health insurance units," which may be counted differently for different types of insurance (such as Medicaid or employer coverage).""n this analysis, income (mostly categorized as a percent of the federal poverty level) is aggregated by Census-defined family units",,,,,,,,
,,,,,,,,,
,Data exclude a small number of people with private coverage of an unknown source.  Data may not sum to totals due to rounding and the exclusion of these people.,,,,,,,,
,,,,,,,,,
,Sources,,,,,,,,
,"Kaiser Family Foundation estimates based on the Census Bureau's March 2014, March 2015, and March 2016 Current Population Survey (CPS: Annual Social and Economic Supplements).",,,,,,,,
,,,,,,,,,
,Definitions,,,,,,,,
,"The ASEC asks respondents about their health insurance coverage throughout the previous calendar year. Respondents may report having more than one type of coverage. In this analysis, individuals are sorted into only one category of insurance coverage using the following hierarchy:",,,,,,,,
,,,,,,,,,
,"*Medicaid*: Includes those covered by Medicaid, the Children’s Health Insurance Program (CHIP), and those who have both Medicaid and another type of coverage, such as dual eligibles who are also covered by Medicare.",,,,,,,,
,,,,,,,,,
,"*Medicare*: Includes those covered by Medicare, Medicare Advantage, and those who have Medicare and another type of non-Medicaid coverage where Medicare is the primary payer. Excludes those with Medicare Part A coverage only.",,,,,,,,
,,,,,,,,,
,*Employer*: Includes those covered by employer-sponsored coverage either through their own job or as a dependent in the same household.,,,,,,,,
,,,,,,,,,
,*Other Public*: Includes those covered under the military or Veterans Administration.,,,,,,,,
,,,,,,,,,
,*Non-Group*: Includes individuals and families that purchased or are covered as a dependent by non-group insurance.,,,,,,,,
,,,,,,,,,
,*Uninsured*: Includes those without health insurance and those who have coverage under the Indian Health Service only.,,,,,,,,
,,,,,,,,,
,"For example, a person having Medicaid coverage in the first half of the year but employer-based coverage in the last months of the year would be categorized as having Medicaid coverage in this analysis.",,,,,,,,
,,,,,,,,,
,*N/A*: Estimates with relative standard errors greater than 30% are not provided.,,,,,,,,
